name,category,latitude,longitude,description
Hyde Park,Parks,51.5073,-0.1657,"Free entry. Rated 4.7/5. Hyde Park, London W2 2UH"
Regent's Park,Parks,51.5313,-0.157,"Free entry. Rated 4.7/5. Chester Rd, London NW1 4NR"
Kensington Gardens,Parks,51.5065,-0.1877,Free entry. Rated 4.7/5. London W2 2UH
Greenwich Park,Parks,51.4769,-0.0005,"Free entry. Rated 4.7/5. Greenwich, London SE10 8QY"
Richmond Park,Parks,51.4415,-0.2731,"Free entry. Rated 4.8/5. Richmond, London TW10 5HS"
St James's Park,Parks,51.5028,-0.1347,Free entry. Rated 4.7/5. London SW1A 2BJ
Victoria Park,Parks,51.5361,-0.0387,"Free entry. Rated 4.6/5. Grove Rd, London E3 5TB"
Battersea Park,Parks,51.4791,-0.1587,"Free entry. Rated 4.6/5. Battersea Park, London SW11 4NJ"
Hampstead Heath,Parks,51.5607,-0.1629,Free entry. Rated 4.7/5. London NW3 1TH
Clapham Common,Parks,51.4618,-0.1489,Free entry. Rated 4.5/5. London SW4 9DE
Holland Park,Parks,51.5044,-0.2038,"Free entry. Rated 4.6/5. Ilchester Pl, London W8 6LU"
Bushy Park,Parks,51.4142,-0.3379,"Free entry. Rated 4.7/5. Hampton Court Rd, Teddington TW11 0EQ"
Finsbury Park,Parks,51.5654,-0.1063,Free entry. Rated 4.4/5. London N4 2NQ
Burgess Park,Parks,51.4832,-0.0868,Free entry. Rated 4.4/5. London SE5 0AD
Wandsworth Common,Parks,51.455,-0.1723,Free entry. Rated 4.5/5. London SW18 3BE
Dulwich Park,Parks,51.4457,-0.0848,"Free entry. Rated 4.6/5. Dulwich, London SE21 7BQ"
Crystal Palace Park,Parks,51.4194,-0.0713,"Free entry. Rated 4.5/5. Thicket Rd, London SE20 8DT"
Brockwell Park,Parks,51.4459,-0.1049,"Free entry. Rated 4.6/5. Norwood Rd, London SE24 9BJ"
Alexandra Park,Parks,51.5928,-0.1289,"Free entry. Rated 4.6/5. Alexandra Palace Way, London N22 7AY"
Green Park,Parks,51.5049,-0.1435,Free entry. Rated 4.6/5. London SW1A 1BW
Postman's Park,Parks,51.517,-0.0982,"Free entry. Rated 4.6/5. King Edward St, London EC1A 7BT"
Southwark Park,Parks,51.4967,-0.0498,"Free entry. Rated 4.5/5. Gomm Rd, London SE16 2UA"
Ravenscourt Park,Parks,51.4939,-0.2382,"Free entry. Rated 4.6/5. Paddenswick Rd, London W6 0UL"
